"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C9,C20,C23,C1,C2,C6,C10,C19,C21,C22,C25";"C_1206_3216Metric";11;"22u";;;
2;"D2,D1";"D_SOD-123";2;"D";;;
3;"R14,R13,R15,R16,R19,R20,R47,R49,R50,R51,R52,R53";"R_0805_2012Metric";12;"20k";;;
4;"JP5";"PinHeader_2x05_P2.54mm_Vertical_SMD";1;"M05X2SMD";;;
5;"IC7";"SOT-89-3_Handsoldering";1;"LD2981ABU33";;;
6;"L4,L2";"R_0805_2012Metric";2;"Ferrite_Bead_Small";;;
7;"R72,R76,R25,R27,R28,R30,R31,R32,R48,R66,R67,R68,R69,R70,R71,R73,R74,R75,R77";"R_0805_2012Metric";19;"100k";;;
8;"C54,C5,C7,C8,C11,C13,C14,C15,C16,C24,C30,C33,C34,C50,C51,C52,C53,C55";"C_0805_2012Metric";18;"100n";;;
9;"R60,R6,R12,R33,R61,R62,R63,R64,R65";"R_0805_2012Metric";9;"10k";;;
10;"IC14,IC12,IC13";"TSSOP-14_4.4x5mm_P0.65mm";3;"TL074";;;
11;"C44,C45,C46,C47,C48,C49";"C_0805_2012Metric";6;"100p";;;
12;"D3,D4,D5,D6,D7,D8";"D_SOD-123";6;"1N4148";;;
13;"IC1";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"TLC59281";;;
14;"IC2";"Converter_DCDC_RECOM_ROF-78E-0.5_SMD_HandSoldering";1;"R-78E3.3-0.5";;;
15;"IC3,IC6";"TSSOP-16_4.4x5mm_P0.65mm";2;"4051";;;
16;"IC4";"TSSOP-14_4.4x5mm_P0.65mm";1;"DAC8168";;;
17;"IC5";"LQFP-64_10x10mm_P0.5mm";1;"STM32F373RBTx";;;
18;"IC11";"SOT-23";1;"LM4040DBZ-2.5";;;
19;"J1,J2,J3,J4,J5,J6,J13,J14,J15,J16,J17,J18";"WQP-PJ301M-12_JACK";12;"-8.1V to 8.1V";;;
20;"J7,J8,J9,J10,J11,J12";"WQP-PJ301M-12_JACK";6;"WQP-PJ301M-12_JACK";;;
21;"JP3,JP4";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
22;"JP6";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
23;"LED1,LED2,LED3,LED4,LED5,LED6";"LED_D3.0mm";6;"WP937EGW";;;
24;"LED7,LED8,LED9,LED10,LED11,LED12";"LED_3.0mm Bi-Color Common Anode";6;"LED_Dual_CAC";;;
25;"Q1";"Crystal_SMD_Abracon_ABMM2-4Pin_6.0x3.6mm_HandSoldering";1;"8MHz";;;
26;"Q2,Q3,Q4,Q5,Q6,Q7";"SOT-23";6;"MMBT3904";;;
27;"R78,R79,R80,R81,R82,R83";"Potentiometer-Bourns PTL20";6;"20kB";;;
28;"SW1,SW2,SW3,SW4,SW5,SW6";"Push E-Switch 6mm";6;"SW_Push_4pin";;;
29;"R84,R85,R86,R87,R88,R89";"Potentiometer_SongHuei9mm-1_Single_Vertical";6;"10kB";;;
30;"D9";"SOT-23";1;"BAT54S";;;
31;"IC8,IC9,IC10";"SOIC-8_3.9x4.9mm_P1.27mm";3;"MCP6002";;;
32;"C3,C4";"C_0805_2012Metric";2;"20p";;;
33;"C12,C18,C26,C41,C43";"C_0805_2012Metric";5;"1u";;;
34;"C17";"C_0805_2012Metric";1;"22u";;;
35;"C27,C29,C31,C32,C35";"C_0805_2012Metric";5;"2.2n";;;
36;"C28";"C_0805_2012Metric";1;"470p";;;
37;"C36,C37,C38,C39,C40,C42";"C_0805_2012Metric";6;"ESD";;;
38;"L1,L5";"R_0805_2012Metric";2;"Ferrite_Bead";;;
39;"L3";"L_0805_2012Metric";1;"33u";;;
40;"R1,R2,R3,R4,R17,R18";"R_0805_2012Metric";6;"15k";;;
41;"R5,R7,R8,R9,R10,R11";"R_0805_2012Metric";6;"100";;;
42;"R21,R22,R23,R24,R26,R29";"R_0805_2012Metric";6;"30k";;;
43;"R34,R35,R36,R37,R38,R39,R54,R55,R56,R57,R58,R59";"R_0805_2012Metric";12;"1k";;;
44;"R40,R41,R42,R43,R44,R45,R46";"R_0805_2012Metric";7;"130k";;;
45;"MH1,MH2,MH3";"MountingHole_3.2mm_M3";3;"MountingHole";;;
46;"MH4";"PinHeader_1x01_P1.00mm_Vertical";1;"MountingHole_Pad";;;
